Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp,TeamId,DeviceType,DeviceId
13,dienst uitvoering onderwijs,52.2212569,6.8952942,null,30,null,null,null,1377337185630,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
22,C,52.2212569,6.8952942,null,30,null,null,null,1377337185630,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
12,B,52.2208799,6.8941742,null,20,null,null,null,1377337324492,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
18,D,52.22086612650936,6.89521037731455,130.45150705421366,8,null,null,0,1377336069726,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
20,C,52.22086612650936,6.89521037731455,126.89469150386431,6,null,null,0,1377336077999,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
16,B,52.22086612650936,6.89521037731455,126.89469150386431,6,null,null,0,1377336077999,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
19,B,52.2219947142187,6.896645234031946,99.07968387694514,8,null,187.16128540039062,2.381392240524292,1377336325999,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
15,D,52.22199221181833,6.8967029906204305,99.01086058959966,4,null,351.76397705078125,0.4547768533229828,1377336338999,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
14,D,52.22031145453094,6.888084292590933,80.39467730987607,6,null,250.97276306152344,4.29118013381958,1377336731000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
11,D,52.221378372866646,6.895224371166924,92.66861837412105,4,null,68.65325927734375,0,1377337168000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
13,dienstuitvoerendonderwijs,52.22144998526855,6.895192641500543,93.69754200371793,4,null,42.02789306640625,0,1377337211000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
22,C,52.22144998526855,6.895192641500543,93.69754200371793,4,null,42.02789306640625,0,1377337211000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
12,B,52.22011405307778,6.894281265663749,91.67287437392612,6,null,166.0739288330078,0,1377337354000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
24,1. 00,52.21980476753457,6.8962314703566765,89.94444255564218,4,null,2.4671311378479004,0,1377337548000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
8,A,52.22056963375806,6.895697519840639,91.5622195113171,4,null,85.87631225585938,0,1377337662000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
6,groen,52.21920660104782,6.896182017054248,94.32878967701133,6,null,224.02655029296875,0,1377337803000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
1,C,52.2191918104669,6.89622634789127,94.15860767706985,4,null,224.02655029296875,0,1377337812000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
3,C,52.2191918104669,6.89622634789127,94.15860767706985,4,null,224.02655029296875,0,1377337812000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
4,m. meijers,52.21689755179454,6.898983700190342,91.76337670255059,12,null,130.81077575683594,0,1377338439000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
5,blauw,52.21693072114288,6.899031426210144,94.18590508199054,4,null,130.81077575683594,0,1377338463000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
17,B,52.217779975416235,6.899407403534678,176.36727198768745,16,null,null,0,1377339009383,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
10,C,52.217508914078955,6.899290739658752,112.78725395962475,6,null,null,0,1377339049000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
7,C,52.217508914078955,6.899290739658752,112.78725395962475,6,null,null,0,1377339049000,AAG05,android,8dc7d4a8-d3ca-4b0c-bf56-3e284a8c0e91
18,D,52.22084326,6.89532274,95.5999984741211,4,null,null,0,1377335932000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
20,D,52.22084425,6.89532109,97.9000015258789,3,null,null,0,1377336023000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
16,B,52.22085273,6.89532298,96.9000015258789,3,null,null,0,1377336085000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
19,B,52.22194547,6.8966135,110,3,null,176.39999389648438,1.75,1377336327000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
15,D,52.22193376,6.89666026,108.5,3,null,null,0,1377336373000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
14,C,52.22017383,6.88666576,86.4000015258789,3,null,null,0,1377336750000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
11,D,52.22129768,6.89516823,95.0999984741211,4,null,null,0,1377337167000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
13,dienst uitvoerend onderwijs,52.22135729,6.89528653,93.30000305175781,3,null,null,0,1377337209000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
22,C,52.22135723,6.89528778,93.19999694824219,3,null,null,0,1377337229000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
12,B,52.22014719,6.89415451,89.30000305175781,4,null,null,0,1377337360000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
24,1.00,52.21977542,6.89629471,93.0999984741211,4,null,61.79999923706055,0.25,1377337557000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
8,A,52.2205335,6.89573245,89.69999694824219,3,null,null,0,1377337660000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
6,blauw,52.21923824,6.89617812,86.69999694824219,3,null,null,0,1377337772000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
1,C,52.21923767,6.8962021,88.69999694824219,3,null,null,0,1377337805000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
3,C,52.21912239,6.89617277,88.30000305175781,3,null,null,0,1377337842000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
4,mark,52.21705501,6.89902868,102.4000015258789,4,null,null,0,1377338592000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
5,wit,52.2170669,6.89902472,102.19999694824219,4,null,null,0,1377338966000,AAG05,android,928d8ce8-252a-4425-902d-19235b689e0a
